,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Unnamed: 15
5,G Singh (USA),2021-2021,2,2,0,57,48,28.50,76,75.0,0,0,0,3,1,
6,Faheem Ashraf (PAK),2020-2021,8,7,1,56,23,9.33,65,86.15,0,0,0,5,1,
7,MP Stoinis (AUS),2020-2020,4,4,0,56,43,14.00,56,100.0,0,0,1,7,1,
8,CA Young (IRE),2020-2022,20,13,7,56,12*,9.33,72,77.77,0,0,2,4,1,
9,Zubayr Hamza (SA),2021-2021,1,1,0,56,56,56.00,79,70.88,0,1,0,5,1,
10,J Figy (UAE),2019-2020,2,2,1,55,32*,55.00,73,75.34,0,0,0,4,0,
11,AJ Hosein (WI),2021-2022,13,9,2,55,23,7.85,101,54.45,0,0,3,5,1,
12,DDP D'Silva (UAE),2019-2020,6,5,1,53,31,13.25,119,44.53,0,0,0,8,0,
13,BJ McCarthy (IRE),2020-2021,11,8,2,52,17*,8.66,84,61.9,0,0,2,4,1,
14,DS Airee (NEPAL),2020-2020,4,4,1,51,36,17.00,73,69.86,0,0,2,7,2,
15,NE Bonner (WI),2021-2021,3,3,0,51,31,17.00,95,53.68,0,0,1,3,0,
16,PJ Cummins (AUS),2020-2020,11,9,3,51,14*,8.50,59,86.44,0,0,2,2,2,
17,KR Mayers (WI),2021-2021,3,3,0,51,40,17.00,88,57.95,0,0,1,6,1,
18,K Rabada (SA),2021-2021,7,5,3,51,16,25.50,43,118.6,0,0,0,5,2,
19,WA Agar (AUS),2021-2021,2,2,0,50,41,25.00,42,119.04,0,0,0,4,2,
20,RTM Mendis (SL),2021-2022,4,4,2,50,26,25.00,50,100.0,0,0,0,3,1,
21,Riaz Hassan (AFG),2022-2022,1,1,0,50,50,50.00,75,66.66,0,1,0,3,1,
22,T van der Gugten (NED),2021-2021,4,2,0,50,49,25.00,61,81.96,0,0,0,1,4,
23,N Pokana (PNG),2019-2021,13,10,6,48,11*,12.00,104,46.15,0,0,1,3,1,
24,Zawar Farid (UAE),2020-2021,3,3,0,48,28,16.00,67,71.64,0,0,0,8,0,
25,ME Sanuth (OMA),2020-2020,3,2,0,46,40,23.00,39,117.94,0,0,0,5,1,
26,Imad Wasim (PAK),2019-2020,3,2,1,46,34*,46.00,34,135.29,0,0,0,3,2,
